URL,NombreTelefono,Colores,ImagenTelefono,Marca,Disponible,Sistema Operativo,Almacenamiento,Tiene SIM,Bateria,Tiene Audifonos,Tiene Bluetooth,Cable Conexion,Camara,Camara Video,Tiene Lector Huella,Tiene Localizacion,Tiene Memoria Adicional,Tiene NFC,Tamanio,Precio Fabrica,Procesamiento,Tiene Radio,RAM,Reciente,Reconocimiento Rostro,Resolucion,Selfie,Selfie Video
https://www.gsmarena.com/blu_c4-9301.php,BLU C4,"Black, Gold, Blue",https://fdn2.gsmarena.com/vv/bigpic/blu-c4.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,Si,Si,No,Chico,Bajo,Baja,Si,Baja,Reciente,No,Baja,Media,Baja
https://www.gsmarena.com/blu_c5-9302.php,BLU C5,"Black, Gold, Blue",https://fdn2.gsmarena.com/vv/bigpic/blu-c5.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Baja,No,Si,Si,No,Chico,Bajo,Baja,Si,Baja,Reciente,No,Baja,Media,Baja
https://www.gsmarena.com/lava_z60s-9303.php,Lava Z60s,"Gold, Black",https://fdn2.gsmarena.com/vv/bigpic/lava-z60s.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Baja,Mediana,No,Si,Si,No,Chico,Bajo,Baja,Si,Baja,Reciente,No,Baja,Media,Baja
https://www.gsmarena.com/lg_g7_one-9304.php,LG G7 One,"New Aurora Black, New Moroccan Blue",https://fdn2.gsmarena.com/vv/bigpic/lg-g7-one.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,Si,Media,Reciente,No,Alta,Media,Media
https://www.gsmarena.com/lg_g7_fit-9305.php,LG G7 Fit,"New Aurora Black, New Platinum Gray",https://fdn2.gsmarena.com/vv/bigpic/lg-g7-fit.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Alta,Media,Media
https://www.gsmarena.com/honor_8x_max-9306.php,Honor 8X Max,"Black, Blue, Red",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x-max.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Grande,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/blu_vivo_xi+-9307.php,BLU Vivo XI+,"Black, Silver",https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-xl-plus.jpg,Otra marca,1,android,Media,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/yu_ace-9308.php,YU Ace,"Charcoal Grey, Elektric Blue, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg,Otra marca,1,android,Baja,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Bajo,Baja,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/lg_candy-9309.php,LG Candy,"Black, Gold, Blue, Silver",https://fdn2.gsmarena.com/vv/bigpic/lg-zone4.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Chico,Medio,Baja,Si,Media,Reciente,No,Baja,Media,Baja
https://www.gsmarena.com/motorola_one_(p30_play)-9310.php,Motorola One (P30 Play),"Black, White",https://fdn2.gsmarena.com/vv/bigpic/motorola-one-.jpg,Motorola,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/sharp_aquos_d10-9311.php,Sharp Aquos D10,Black,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-d10-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,Si,Media,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/vivo_x23-9312.php,vivo X23,"Phantom Purple, Magic Night, Phantom Red",https://fdn2.gsmarena.com/vv/bigpic/vivo-x23.jpg,Otra marca,1,android,Alta,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,No,No,Mediano,Alto,Media,Si,Alta,Reciente,No,Media,Media,Media
https://www.gsmarena.com/honor_8x-9313.php,Honor 8X,"Black, Blue, Red, Pink",https://fdn2.gsmarena.com/vv/bigpic/huawei-honor-8x.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Alta,Media
